datetime,busvoltage
2001:02:09 18:00:00 ,32.5653775
2001:02:09 21:00:00 ,32.6146775
2001:02:10 00:00:00 ,32.52458004
2001:02:10 03:00:00 ,32.56329416
2001:02:10 06:00:00 ,32.60275197
2001:02:10 09:00:00 ,32.6014775
2001:02:10 12:00:00 ,32.49834417
2001:02:10 15:00:00 ,32.54947659
2001:02:10 18:00:00 ,32.60325544
2001:02:10 21:00:00 ,32.5403821
2001:02:11 00:00:00 ,32.55681083
2001:02:11 03:00:00 ,32.61777489
2001:02:11 06:00:00 ,32.59275527
2001:02:11 09:00:00 ,32.53561639
2001:02:11 12:00:00 ,32.59108316
2001:02:11 15:00:00 ,32.61880135
2001:02:11 18:00:00 ,32.52968343
2001:02:11 21:00:00 ,32.56419416
2001:02:12 00:00:00 ,32.62212529
2001:02:12 03:00:00 ,32.58385267
2001:02:12 06:00:00 ,32.54222194
2001:02:12 09:00:00 ,32.59866616
2001:02:12 12:00:00 ,32.64559416
2001:02:12 15:00:00 ,32.5618275
2001:02:12 18:00:00 ,32.55584972
2001:02:12 21:00:00 ,32.60284093
2001:02:13 00:00:00 ,32.6000275
2001:02:13 03:00:00 ,32.54914416
2001:02:13 06:00:00 ,32.59912472
2001:02:13 09:00:00 ,32.63976083
2001:02:13 12:00:00 ,32.60783636
2001:02:13 15:00:00 ,32.54814416
2001:02:13 18:00:00 ,32.60509122
2001:02:13 21:00:00 ,32.63892237
2001:02:14 00:00:00 ,32.59530527
2001:02:14 03:00:00 ,32.53394798
2001:02:14 06:00:00 ,32.60949972
2001:02:14 09:00:00 ,32.65562749
2001:02:14 12:00:00 ,32.59700527
2001:02:14 15:00:00 ,32.56395527
2001:02:14 18:00:00 ,32.61186597
2001:02:14 21:00:00 ,32.64534416
2001:02:15 00:00:00 ,32.57753982
2001:02:15 03:00:00 ,32.5573775
2001:02:15 06:00:00 ,32.61813792
2001:02:15 09:00:00 ,32.66072749
2001:02:15 12:00:00 ,32.57749972
2001:02:15 15:00:00 ,32.56833293
2001:02:15 18:00:00 ,32.61176083
2001:02:15 21:00:00 ,32.64827427
2001:02:16 00:00:00 ,32.54875528
2001:02:16 03:00:00 ,32.56045527
2001:02:16 06:00:00 ,32.6204796
2001:02:16 09:00:00 ,32.60066639
2001:02:16 12:00:00 ,32.56125962
2001:02:16 15:00:00 ,32.60851952
2001:02:16 18:00:00 ,32.62488243
2001:02:16 21:00:00 ,32.55033305
2001:02:17 00:00:00 ,32.5891775
2001:02:17 03:00:00 ,32.64092149
2001:02:17 06:00:00 ,32.55914992
2001:02:17 09:00:00 ,32.55397371
2001:02:17 12:00:00 ,32.62325993
2001:02:17 15:00:00 ,32.58456463
2001:02:17 18:00:00 ,32.5407275
2001:02:17 21:00:00 ,32.60672194
2001:02:18 00:00:00 ,32.64453599
2001:02:18 03:00:00 ,32.54828305
2001:02:18 06:00:00 ,32.58657056
2001:02:18 09:00:00 ,32.6356275
2001:02:18 12:00:00 ,32.58204972
2001:02:18 15:00:00 ,32.56088559
2001:02:18 18:00:00 ,32.62361922
2001:02:18 21:00:00 ,32.65270527
2001:02:19 00:00:00 ,32.54186639
2001:02:19 03:00:00 ,32.60504041
2001:02:19 06:00:00 ,32.65815527
2001:02:19 09:00:00 ,32.56611083
2001:02:19 12:00:00 ,32.58088399
